"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","161","test_true_username_password_req[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","167","test_true_password_username_req[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_invalid_login","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","130","test_username_txf[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","72","test_password_field_type[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","192","test_invalid_login[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_username_txf","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","66","test_password_field_type[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_login_button","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","0","test_true_password_username_req","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","297","test_locked_login[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","93","test_login_button[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","248","test_true_username_password_req[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","82","test_password_empty[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","207","test_both_username_password_req[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","265","test_locked_login[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","130","test_login_button_text[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","76","test_page_title[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","80","test_password_placeholder[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","221","test_false_password_username_req[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","68","test_login_button_text[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_false_username_password_req","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","69","test_username_empty[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","248","test_close_error_message[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","62","test_username_empty[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","85","test_password_txf[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","348","test_valid_login[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_valid_login","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","246","test_valid_login[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","61","test_login_button[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","215","test_false_password_username_req[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_false_password_username_req","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","68","test_username_txf[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","236","test_login_with_enter[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","573","test_page_title[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","64","test_username_placeholder[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","65","test_password_empty[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","90","test_username_placeholder[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_password_txf","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
